chain_length,data_gb_between_services,destination_node,input_data_gb,output_data_gb,request_template_id,service_workload_cycles,services,source_node,template_id
5,"[1.9528790038684964, 2.3632938196490825, 1.2417406257969825, 1.8937644867185965]",5,2.5381162643938158,1.3660589886360404,1,"[6250715218.634003, 2314553769.1444235, 4432057644.126408, 6246694071.427218, 7854039613.181128]","[9, 20, 1, 23, 5]",4,1
5,"[2.3349155273086457, 1.6549984620388885, 2.407733454526281, 2.9008595202079785]",3,2.6592970016677415,1.9991301570839997,2,"[1027841249.0050929, 2314553769.1444235, 8318293388.861306, 1686405683.1476648, 1027841249.0050929]","[2, 20, 24, 11, 2]",1,2
5,"[2.41325671655008, 2.144409396486538, 2.142317987425359, 2.107223266802044]",16,1.3094203938919629,3.390457740309068,3,"[6922015519.15283, 6636136338.901371, 6250715218.634003, 5962352895.0939865, 5929053537.502587]","[22, 10, 9, 7, 30]",8,3
5,"[2.4515887698458663, 1.190470143409958, 1.446634792725849, 2.4789243163065873]",9,1.3853001148775612,0.7249316579590901,4,"[5060050676.110394, 9568288735.025394, 1686405683.1476648, 6965987019.883443, 2565881649.4190416]","[3, 4, 11, 29, 27]",4,4
5,"[0.9892099364412981, 2.9755545012484386, 1.6823057827702552, 1.3350608620417208]",18,1.9735880572175597,2.0523354457783904,5,"[5060050676.110394, 7912998412.399082, 1267961596.2178876, 8318293388.861306, 5929053537.502587]","[3, 14, 19, 24, 30]",4,5
5,"[1.7283483093496232, 2.4494128045343704, 0.8328200261290295, 2.808865456895796]",3,2.5760105056439926,1.5083589747180737,6,"[5962352895.0939865, 5060050676.110394, 2170769761.6471395, 3620245974.6474953, 7439208411.390191]","[7, 3, 28, 13, 16]",16,6
5,"[2.8825354789361466, 1.5257368641098692, 1.3546463813472611, 2.7842031596950787]",23,2.2641259661903343,1.743849732876143,7,"[6965987019.883443, 6636136338.901371, 2576492098.9566736, 9568288735.025394, 2879407217.1194873]","[29, 10, 6, 4, 25]",18,7
5,"[1.3687042882605889, 3.0982119355784237, 2.0029592907764937, 1.5867144594370062]",5,1.740872354039404,2.960751431462669,8,"[3620245974.6474953, 2879407217.1194873, 7854039613.181128, 1267961596.2178876, 7854039613.181128]","[13, 25, 5, 19, 5]",39,8
10,"[1.7533067206630462, 1.4483650695238492, 3.578305805266848, 2.8882236310314777, 1.4457681446189743, 2.206323782374238, 2.2034092084092483, 1.6868522878472907, 2.216635039995372]",17,2.718731773604522,1.497140248008383,9,"[5929053537.502587, 9441724724.174255, 9336898666.464119, 1686405683.1476648, 1027841249.0050929, 2314553769.1444235, 6246694071.427218, 3284054520.9175577, 9568288735.025394, 5962352895.0939865]","[30, 12, 8, 11, 2, 20, 23, 18, 4, 7]",16,9
10,"[0.6947265505159144, 2.2247822422841375, 2.0985308937676, 2.853009959709513, 1.525308525957328, 2.5695314147061596, 0.5, 2.4461951875199173, 4.268650309241735]",1,2.294649641735238,2.1563277495656754,10,"[5929053537.502587, 4432057644.126408, 9568288735.025394, 2879407217.1194873, 5060050676.110394, 9336898666.464119, 9142442094.548603, 3284054520.9175577, 2314553769.1444235, 1027841249.0050929]","[30, 1, 4, 25, 3, 8, 15, 18, 20, 2]",17,10
10,"[1.8032480892315979, 2.2553596510624496, 2.745232888173645, 3.1179853441083125, 1.0019080254330999, 2.1592273799565747, 2.542166827405874, 2.0986894744653544, 1.7155908713410672]",8,0.8885261443940089,1.7638990554715284,11,"[6965987019.883443, 8318293388.861306, 8372123753.911404, 8318293388.861306, 1027841249.0050929, 6604672306.004939, 3620245974.6474953, 6636136338.901371, 8318293388.861306, 6636136338.901371]","[29, 24, 21, 24, 2, 26, 13, 10, 24, 10]",1,11
10,"[3.077653270559843, 3.272836632371939, 0.58022210767472, 0.8600086662236, 2.521064456821679, 1.4821117789412437, 2.8069985775913477, 1.1333634009095648, 2.9419331202417007]",6,2.4164734291381826,3.0153854979338224,12,"[9441724724.174255, 6636136338.901371, 5962352895.0939865, 2314553769.1444235, 8372123753.911404, 9441724724.174255, 9441724724.174255, 7912998412.399082, 1027841249.0050929, 9568288735.025394]","[12, 10, 7, 20, 21, 12, 12, 14, 2, 4]",11,12
15,"[2.305189822584369, 2.11640127411402, 0.7737374277887819, 1.0682858716523402, 1.0681007558899993, 1.5838259384158138, 2.0961973428733214, 1.1844944051168143, 2.3358480080907063, 2.0609818240663373, 1.407729347426643, 2.437459502007331, 2.150169589243839, 2.5707071749495167]",3,0.8804964959589874,1.88593350682474,13,"[4432057644.126408, 6250715218.634003, 3620245974.6474953, 3284054520.9175577, 9336898666.464119, 7854039613.181128, 2879407217.1194873, 1267961596.2178876, 2576492098.9566736, 6965987019.883443, 2314553769.1444235, 3284054520.9175577, 6604672306.004939, 5929053537.502587, 6250715218.634003]","[1, 9, 13, 18, 8, 5, 25, 19, 6, 29, 20, 18, 26, 30, 9]",13,13
15,"[3.0175964253667096, 1.7425724355272807, 1.7034235391382366, 2.251670386998151, 2.5238594292808036, 1.9036536193306492, 1.631554857725881, 2.7660505056739177, 1.3395960995077971, 2.9495329012902616, 1.8931489461110442, 2.4609507273695295, 2.482938297864532, 1.225573593984576]",17,2.587724726572123,2.047140797146259,14,"[7439208411.390191, 4432057644.126408, 2691115073.870057, 9441724724.174255, 5929053537.502587, 1027841249.0050929, 9568288735.025394, 6636136338.901371, 6604672306.004939, 2314553769.1444235, 4432057644.126408, 1686405683.1476648, 7854039613.181128, 2879407217.1194873, 5929053537.502587]","[16, 1, 17, 12, 30, 2, 4, 10, 26, 20, 1, 11, 5, 25, 30]",3,14
