chain_length,data_gb_between_services,destination_node,input_data_gb,output_data_gb,request_template_id,service_workload_cycles,services,source_node,template_id
5,"[1.3573804653088068, 2.915411679399948, 2.145270035690913, 2.8361642700431755]",3,3.7956953705704395,2.2862002593192647,1,"[2046356135.0793848, 5169048595.934147, 6258602119.596085, 2517155541.359997, 4924937589.787942]","[22, 26, 2, 10, 19]",4,1
5,"[1.0809134772285025, 2.2328889012603876, 2.4287046799483925, 1.4223801044402307]",7,2.0589551458433166,1.3773873125085112,2,"[8153697074.595654, 2046356135.0793848, 9093107790.423428, 4760073809.180513, 6258602119.596085]","[3, 22, 7, 9, 2]",3,2
5,"[1.0280921729162698, 2.118109556054284, 1.5749055025037801, 1.5661723022406482]",5,1.4270193753614162,2.5734478241546164,3,"[3199612154.7038, 4760073809.180513, 8153697074.595654, 4406330405.431262, 8604934905.973457]","[14, 9, 3, 27, 24]",12,3
5,"[2.6622284359891006, 2.286479805437018, 1.7561842329229271, 1.8048214521252044]",1,2.0129725975637838,2.2393799312972495,4,"[8835375887.441208, 4924937589.787942, 3199612154.7038, 5455533278.909031, 2193972758.6834116]","[8, 19, 14, 18, 17]",8,4
5,"[2.4957141119005186, 2.7308568365868884, 2.55409931543447, 0.9943881352501158]",30,2.241421709976438,2.9674736424503982,5,"[3199612154.7038, 8000417374.695172, 8406513754.686489, 8017079056.620412, 3370212115.2647123]","[14, 6, 11, 20, 28]",8,5
5,"[1.2786241313128173, 2.583145772032098, 2.4866607772430904, 2.1418406639148495]",15,1.565316260847813,3.0303749315023425,6,"[9093107790.423428, 8783189776.155495, 8000417374.695172, 5169048595.934147, 4760073809.180513]","[7, 23, 6, 26, 9]",12,6
5,"[2.194464165303628, 0.7945862460723676, 1.6630773597550705, 2.0878595742723376]",17,2.3053017974012167,1.1707443669787136,7,"[2193972758.6834116, 5455533278.909031, 3370212115.2647123, 8783189776.155495, 8017079056.620412]","[17, 18, 28, 23, 20]",1,7
5,"[1.2101082163331691, 1.574111640127881, 3.1625229727395636, 1.800191283119553]",3,2.590897070402717,1.225627403779911,8,"[7371452894.7936735, 9905618517.225695, 9641394911.701178, 5455533278.909031, 8106195864.933246]","[30, 4, 1, 18, 29]",9,8
10,"[2.055411305810861, 1.4403566377121964, 2.4346594968843673, 2.2770429066753004, 3.305569109290906, 3.1124704404541013, 1.7635577134125278, 1.367389676079396, 2.234244721729873]",15,1.872618518589863,1.90095847538728,9,"[4924937589.787942, 2542202771.7063465, 5455533278.909031, 9641394911.701178, 8783189776.155495, 9905618517.225695, 8153697074.595654, 9905618517.225695, 4760073809.180513, 4646137112.239924]","[19, 15, 18, 1, 23, 4, 3, 4, 9, 25]",5,9
10,"[1.9657848470978594, 2.6210269882714927, 2.3777569994918704, 0.8624231581933299, 1.9839282879781646, 2.775977219545087, 2.411667783366488, 1.083572756513706, 2.7515901171213337]",29,2.279314313876964,2.051376042396898,10,"[8604934905.973457, 6258602119.596085, 2193972758.6834116, 8106195864.933246, 9905618517.225695, 8017079056.620412, 3199612154.7038, 4406330405.431262, 9599502330.973822, 3370212115.2647123]","[24, 2, 17, 29, 4, 20, 14, 27, 12, 28]",5,10
10,"[1.779600496689664, 1.824163372272754, 1.7934656092550856, 1.2552558599709562, 2.2054378498255787, 2.2615882412039547, 2.0372933611364625, 1.2370554029134762, 1.7128475780124475]",4,2.941725510638359,0.5,11,"[3370212115.2647123, 8153697074.595654, 9093107790.423428, 2046356135.0793848, 7451558503.954487, 9599502330.973822, 7371452894.7936735, 3199612154.7038, 7451558503.954487, 2046356135.0793848]","[28, 3, 7, 22, 5, 12, 30, 14, 5, 22]",27,11
10,"[1.4542224884480777, 1.3388482360735428, 2.3273414384309477, 2.0716999970932246, 1.4117377007417233, 1.38056688949154, 3.7589249858085947, 3.0446340458266103, 1.7474180315748327]",4,3.109103838723863,0.9861489910664634,12,"[7451558503.954487, 8783189776.155495, 9905618517.225695, 7451558503.954487, 9093107790.423428, 8153697074.595654, 2517155541.359997, 2046356135.0793848, 8604934905.973457, 8153697074.595654]","[5, 23, 4, 5, 7, 3, 10, 22, 24, 3]",56,12
15,"[2.1190209321079356, 1.8610554438840574, 2.1776788692917983, 0.5631215784380612, 1.5092049023461485, 2.858904135277627, 2.490747632238168, 2.561951195562653, 2.341202158310644, 2.928331645216663, 2.766857436020845, 2.1267801438066294, 2.1517575269388587, 1.6264524012546797]",12,2.1717276761902533,1.546585192153131,13,"[9641394911.701178, 8539178967.021752, 5455533278.909031, 9714124105.330732, 4760073809.180513, 9714124105.330732, 8783189776.155495, 7371452894.7936735, 9714124105.330732, 6258602119.596085, 8539178967.021752, 8153697074.595654, 4049824516.893049, 9599502330.973822, 9093107790.423428]","[1, 21, 18, 13, 9, 13, 23, 30, 13, 2, 21, 3, 16, 12, 7]",13,13
15,"[0.9573963188871775, 1.0985539966845295, 2.037228441418561, 0.7111661555136488, 1.607983198088264, 2.1867517878649925, 2.298689302987664, 3.5215918606700796, 1.6307343834737034, 1.9916531646986437, 1.7067213102397174, 2.1415131022146183, 1.2065361547406501, 3.315044582232506]",7,3.1643905243332133,1.9306098587058267,14,"[8604934905.973457, 2046356135.0793848, 7371452894.7936735, 2193972758.6834116, 2542202771.7063465, 8539178967.021752, 9714124105.330732, 8835375887.441208, 9714124105.330732, 4646137112.239924, 6258602119.596085, 8604934905.973457, 9905618517.225695, 8604934905.973457, 6258602119.596085]","[24, 22, 30, 17, 15, 21, 13, 8, 13, 25, 2, 24, 4, 24, 2]",3,14
