chain_length,data_gb_between_services,destination_node,input_data_gb,output_data_gb,request_template_id,service_workload_cycles,services,source_node,template_id
5,"[2.7426839373273566, 1.7813228727428103, 1.7251649477038535, 2.465640204085569]",37,0.8830762742921305,2.3339824615989393,1,"[7760370767.1264305, 2223115377.8827415, 8164519139.62393, 7931236542.303855, 1039888849.3754948]","[3, 10, 13, 8, 16]",9,1
5,"[2.1409197499289294, 3.237366827372293, 2.737015948162289, 1.7017992705144798]",4,2.6932709054932467,1.5447931779312694,2,"[3254359647.66457, 3838562086.944871, 4516498292.120247, 7760370767.1264305, 2322006849.753156]","[22, 7, 15, 3, 20]",9,2
5,"[1.4156462960776526, 1.1653389425155072, 2.734547797547952, 2.3552201164835465]",36,1.796493826519383,2.1464736338508104,3,"[8557682413.327912, 8164519139.62393, 7931236542.303855, 8943434647.87493, 1039888849.3754948]","[28, 13, 8, 19, 16]",9,3
5,"[2.129611180371229, 2.3547423490414157, 1.3472217402217397, 0.5]",27,2.2661919316611048,2.2289454843832384,4,"[6938355684.090454, 4061399302.457859, 6193452710.252323, 8164519139.62393, 6938355684.090454]","[12, 6, 2, 13, 12]",1,4
5,"[3.5098121938844873, 1.6929964755932245, 1.8504732713990373, 2.5159613257181306]",16,0.7760462968895403,2.683029143802503,5,"[6343867339.495984, 7931236542.303855, 3316831764.6610613, 2223115377.8827415, 8164519139.62393]","[14, 8, 27, 10, 13]",14,5
5,"[1.6236860349001163, 1.6843201038361886, 2.829666234007526, 0.5]",8,2.538883694456438,0.5,6,"[8749474553.612461, 6628549869.745621, 3166506234.521177, 3838562086.944871, 5626590861.644636]","[18, 26, 23, 7, 30]",13,6
5,"[1.6650757940421848, 1.4217854843605848, 1.119200179805832, 1.4917468337101139]",9,1.0672981069103589,2.68094918772534,7,"[3838562086.944871, 8164519139.62393, 2322006849.753156, 6343867339.495984, 7931236542.303855]","[7, 13, 20, 14, 8]",29,7
5,"[1.927188536049921, 3.0313820332658716, 2.644845032465952, 1.7145312900854843]",11,2.480027609133381,1.1774413618255983,8,"[7760370767.1264305, 8557682413.327912, 5388681932.456338, 6373092464.477437, 7760370767.1264305]","[3, 28, 11, 9, 3]",12,8
10,"[1.66358113824334, 2.4442219992145042, 1.9610620377662082, 1.9743733548007552, 1.0411955210651462, 1.4647285514485278, 1.4464309872993069, 1.1982058494210848, 1.019863087762125]",8,1.3101102586739817,1.3490713814944852,9,"[6632725124.530139, 8557682413.327912, 6028048858.082522, 8749474553.612461, 6373092464.477437, 7931236542.303855, 6028048858.082522, 6343867339.495984, 5626590861.644636, 5388681932.456338]","[1, 28, 24, 18, 9, 8, 24, 14, 30, 11]",67,9
10,"[1.918610994882553, 3.435236073134975, 2.45555283959928, 3.197851906400385, 3.0836764389672044, 1.0711376524468719, 1.59455403604897, 2.9454394140392135, 2.524739907190034]",11,0.7022844722224897,3.488565623591543,10,"[7760370767.1264305, 9626059324.636135, 6705767802.250586, 1039888849.3754948, 6705767802.250586, 6705767802.250586, 8164519139.62393, 3316831764.6610613, 6938355684.090454, 7760370767.1264305]","[3, 25, 21, 16, 21, 21, 13, 27, 12, 3]",9,10
10,"[1.4706664850748705, 1.5765524829541373, 1.0050088753599296, 1.8313042302077709, 1.6777678306689636, 1.7094522121016134, 1.3837668816367408, 1.6999820965868189, 0.6557228497885035]",9,1.4000317061847827,2.1385573033663734,11,"[8260821663.734419, 6628549869.745621, 6705767802.250586, 7931236542.303855, 3062185617.8396254, 8557682413.327912, 4516498292.120247, 2322006849.753156, 8943434647.87493, 8557682413.327912]","[5, 26, 21, 8, 17, 28, 15, 20, 19, 28]",7,11
10,"[2.575199241269442, 1.794347366321007, 1.8283533381085006, 2.256562907474142, 1.359068184852363, 2.36664977382757, 1.021489971133919, 1.5602061475201168, 0.5]",13,2.9584633627640757,2.06849469865071,12,"[6628549869.745621, 3062185617.8396254, 5589327739.129435, 5388681932.456338, 9626059324.636135, 9626059324.636135, 4061399302.457859, 6028048858.082522, 6705767802.250586, 4061399302.457859]","[26, 17, 29, 11, 25, 25, 6, 24, 21, 6]",4,12
15,"[1.3374114574130294, 1.9379419389239776, 2.1051657780229225, 1.9340296043542469, 2.441997476678662, 1.7217078206637553, 2.0038026298835545, 2.6723822106821795, 4.273806409117347, 1.4293420593191215, 2.667530514034805, 2.93029177113426, 1.6613517994876354, 2.128418226171895]",14,1.2410779780573815,1.796925430609832,13,"[4061399302.457859, 4061399302.457859, 2223115377.8827415, 4061399302.457859, 3838562086.944871, 7931236542.303855, 5589327739.129435, 6343867339.495984, 6028048858.082522, 6205347865.321665, 1039888849.3754948, 8749474553.612461, 3254359647.66457, 8260821663.734419, 6343867339.495984]","[6, 6, 10, 6, 7, 8, 29, 14, 24, 4, 16, 18, 22, 5, 14]",11,13
15,"[1.724875506491672, 2.2211220686926785, 1.9262962703618969, 3.1454998081383554, 1.626892388172887, 1.112005849567812, 2.4536329900898015, 2.51472979751259, 2.324817432125964, 1.2324232718328096, 2.7830925601703203, 1.4574582802063252, 1.545707601875953, 2.053614816416318]",9,1.709657310595823,2.216263994900423,14,"[2223115377.8827415, 3166506234.521177, 9626059324.636135, 3316831764.6610613, 5589327739.129435, 5589327739.129435, 3254359647.66457, 6373092464.477437, 6193452710.252323, 6705767802.250586, 1039888849.3754948, 3254359647.66457, 8260821663.734419, 6632725124.530139, 5589327739.129435]","[10, 23, 25, 27, 29, 29, 22, 9, 2, 21, 16, 22, 5, 1, 29]",5,14
